Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
CIPLA.NS,Cipla Limited
CKFSL.NS,Cox and Kings Financial Service Limited
CLEAN.NS,Clean Science and Technology Limited
CLEDUCATE.NS,CL Educate Limited
CLNINDIA.NS,Clariant Chemicals (India) Limited
CLSEL.NS,
CMICABLES.NS,CMI Limited
CMSINFO.NS,CMS Info Systems Limited
CNOVAPETRO.NS,CIL Nova Petrochemicals Limited
COALINDIA.NS,Coal India Limited
COCHINSHIP.NS,Cochin Shipyard Limited
COFFEEDAY.NS,Coffee Day Enterprises Limited
COFORGE.NS,Coforge Limited
COLPAL.NS,Colgate-Palmolive (India) Limited
COMPINFO.NS,Compuage Infocom Limited
COMPUSOFT.NS,Compucom Software Limited
CONCOR.NS,Container Corporation of India Limited
CONFIPET.NS,Confidence Petroleum India Limited
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
CONTROLPR.NS,Control Print Limited
CORALFINAC.NS,Coral India Finance and Housing Limited
CORDSCABLE.NS,Cords Cable Industries Limited
COROMANDEL.NS,Coromandel International Limited
COSMOFILMS.NS,Cosmo Films Limited
COUNCODOS.NS,Country Condo's Limited
COX&KINGS.NS,Cox & Kings Limited
CRAFTSMAN.NS,Craftsman Automation Limited
CREATIVE.NS,Creative Newtech Limited
CREATIVEYE.NS,Creative Eye Limited
CREDITACC.NS,CreditAccess Grameen Limited
CREST.NS,Crest Ventures Limited
CRISIL.NS,CRISIL Limited
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
CSBBANK.NS,CSB Bank Limited
CTE.NS,Cambridge Technology Enterprises Limited
CUB.NS,City Union Bank Limited
CUBEXTUB.NS,Cubex Tubings Limited
CUMMINSIND.NS,Cummins India Limited
CUPID.NS,Cupid Limited
CYBERMEDIA.NS,Cyber Media (India) Limited
CYBERTECH.NS,CyberTech Systems and Software Limited
CYIENT.NS,Cyient Limited
DAAWAT.NS,LT Foods Limited
DABUR.NS,Dabur India Limited
DALALSTCOM.NS,DSJ Keep Learning Limited
DALBHARAT.NS,Dalmia Bharat Limited
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
DAMODARIND.NS,Damodar Industries Limited
DANGEE.NS,Dangee Dums Limited
DATAMATICS.NS,Datamatics Global Services Limited
DATAPATTNS.NS,Data Patterns (India) Limited
DBCORP.NS,D. B. Corp Limited
DBL.NS,Dilip Buildcon Limited
DBREALTY.NS,D B Realty Limited
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited
DCAL.NS,Dishman Carbogen Amcis Limited
DCBBANK.NS,DCB Bank Limited
DCM.NS,DCM Limited
DCMFINSERV.NS,DCM Financial Services Limited
DCMNVL.NS,DCM Nouvelle Limited
DCMSHRIRAM.NS,DCM Shriram Limited
DCW.NS,DCW Limited
DECCANCE.NS,Deccan Cements Limited
DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited
DEEPAKNTR.NS,Deepak Nitrite Limited
DEEPENR.NS,Deep Energy Resources Limited
DEEPINDS.NS,Deep Industries Limited
DELPHIFX.NS,Delphi World Money Limited
DELTACORP.NS,Delta Corp Limited
DELTAMAGNT.NS,Delta Manufacturing Limited
DEN.NS,DEN Networks Limited
DENORA.NS,De Nora India Limited
DEVYANI.NS,Devyani International Limited
DFMFOODS.NS,DFM Foods Limited
DGCONTENT.NS,Digicontent Limited
DHAMPURSUG.NS,Dhampur Sugar Mills Limited
DHANBANK.NS,Dhanlaxmi Bank Limited
DHANI.NS,Dhani Services Limited
DHANIPP.NS,
DHANUKA.NS,Dhanuka Agritech Limited
DHARSUGAR.NS,Dharani Sugars and Chemicals Limited
DHFL.NS,Dewan Housing Finance Corporation Limited
DHUNINV.NS,Dhunseri Investments Limited
DIAMONDYD.NS,Prataap Snacks Limited
DIAPOWER.NS,Diamond Power Infrastructure Limited
DICIND.NS,DIC India Limited
DIGISPICE.NS,DiGiSPICE Technologies Limited
DIGJAMLTD.NS,Digjam Limited
DISHTV.NS,Dish TV India Limited
DIVISLAB.NS,Divi's Laboratories Limited
DIXON.NS,Dixon Technologies (India) Limited
DLF.NS,DLF Limited
DLINKINDIA.NS,D-Link (India) Limited
DMART.NS,Avenue Supermarts Limited
DNAMEDIA.NS,Diligent Media Corporation Limited
DODLA.NS,Dodla Dairy Limited
DOLAT.NS,Dolat Algotech Limited
DOLLAR.NS,Dollar Industries Limited
DONEAR.NS,Donear Industries Limited
DPABHUSHAN.NS,D. P. Abhushan Limited
DPSCLTD.NS,India Power Corporation Limited
DPWIRES.NS,D.P. Wires Limited
DQE.NS,DQ Entertainment (International) Limited
DRCSYSTEMS.NS,DRC Systems India Limited
DREDGECORP.NS,Dredging Corporation of India Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
DSSL.NS,Dynacons Systems & Solutions Limited
DTIL.NS,Dhunseri Tea & Industries Limited
DUCON.NS,Ducon Infratechnolgies Limited
DVL.NS,Dhunseri Ventures Limited
DWARKESH.NS,Dwarikesh Sugar Industries Limited
DYNAMATECH.NS,Dynamatic Technologies Limited
DYNPRO.NS,Dynemic Products Limited
EASEMYTRIP.NS,Easy Trip Planners Limited
EASTSILK.NS,Eastern Silk Industries Limited
EASUNREYRL.NS,Easun Reyrolle Limited
EBIXFOREX.NS,Delphi World Money Limited
ECLERX.NS,eClerx Services Limited
EDELWEISS.NS,Edelweiss Financial Services Limited
EDUCOMP.NS,Educomp Solutions Limited
EICHERMOT.NS,Eicher Motors Limited
EIDPARRY.NS,E.I.D.- Parry (India) Limited
EIHAHOTELS.NS,EIH Associated Hotels Limited
EIHOTEL.NS,EIH Limited
EIMCOELECO.NS,Eimco Elecon (India) Limited
EKC.NS,Everest Kanto Cylinder Limited
ELECON.NS,Elecon Engineering Company Limited
ELECTCAST.NS,Electrosteel Castings Limited
ELECTHERM.NS,Electrotherm (India) Limited
ELGIEQUIP.NS,Elgi Equipments Limited
ELGIRUBCO.NS,Elgi Rubber Company Limited
EMAMILTD.NS,Emami Limited
EMAMIPAP.NS,Emami Paper Mills Limited
EMAMIREAL.NS,Emami Realty Limited
EMBASSY.NS,Embassy Office Parks REIT
EMCO.NS,EMCO Limited
EMKAY.NS,Emkay Global Financial Services Limited
EMMBI.NS,Emmbi Industries Limited
ENDURANCE.NS,Endurance Technologies Limited
ENERGYDEV.NS,Energy Development Company Limited
ENGINERSIN.NS,Engineers India Limited
ENIL.NS,Entertainment Network (India) Limited
EPL.NS,EPL Limited
EQ30.NS,Edelweiss ETF - Nifty 100 Quality 30
EQUITAS.NS,Equitas Holdings Limited
EQUITASBNK.NS,Equitas Small Finance Bank Limited
ERIS.NS,Eris Lifesciences Limited
EROSMEDIA.NS,Eros International Media Limited
ESABINDIA.NS,ESAB India Limited
ESCORTS.NS,Escorts Limited
ESSARSHPNG.NS,Essar Shipping Limited
ESTER.NS,Ester Industries Limited
EUROCERA.NS,Euro Ceramics Limited
EUROMULTI.NS,Euro Multivision Limited
EUROTEXIND.NS,Eurotex Industries and Exports Limited
EVEREADY.NS,Eveready Industries India Limited
EVERESTIND.NS,Everest Industries Limited
EXCEL.NS,Excel Realty N Infra Limited
EXCELINDUS.NS,Excel Industries Limited
EXIDEIND.NS,Exide Industries Limited
EXPLEOSOL.NS,Expleo Solutions Limited
EXXARO.NS,Exxaro Tiles Limited
FACT.NS,The Fertilisers And Chemicals Travancore Limited
